name,created_at,updated_at,stars,language,releases,merged_pr,total_issues,closed_issues
interviews,2017-02-14T18:19:25Z,2026-03-14T15:16:56Z,64949,Java,0,42,58,24
Apollo-11,2014-04-03T15:45:02Z,2026-03-14T13:38:19Z,64661,Assembly,0,355,388,330
localstack,2016-10-25T23:48:03Z,2026-03-14T16:40:03Z,64656,Python,106,6813,6178,6178
docusaurus,2017-06-20T16:13:53Z,2026-03-14T16:16:44Z,64117,TypeScript,154,5636,3405,3114
keras,2015-03-28T00:35:42Z,2026-03-14T16:00:55Z,63905,Python,86,4700,12669,12486
prometheus,2012-11-24T11:14:12Z,2026-03-14T11:41:22Z,63167,Go,359,8257,6399,5885
OpenBB,2020-12-20T10:46:38Z,2026-03-14T16:40:38Z,63045,Python,55,4222,2288,2251
socket.io,2010-03-11T18:24:48Z,2026-03-14T16:32:22Z,62949,TypeScript,83,441,3651,3466
alacritty,2016-02-18T05:02:30Z,2026-03-14T16:31:55Z,62941,Rust,105,1919,6256,5933
resume.github.com,2011-02-06T13:39:55Z,2026-03-14T14:31:45Z,62815,JavaScript,0,84,127,67
open-interpreter,2023-07-14T07:10:44Z,2026-03-14T16:15:18Z,62703,Python,48,384,1055,804
nocodb,2017-10-29T18:51:48Z,2026-03-14T15:24:25Z,62419,TypeScript,183,5855,4502,4066
traefik,2015-09-13T19:04:02Z,2026-03-14T15:32:34Z,62167,Go,509,5101,6619,5941
rustlings,2015-09-15T02:25:18Z,2026-03-14T16:41:26Z,62152,Rust,46,923,759,710
uBlock,2015-04-01T17:51:11Z,2026-03-14T16:37:35Z,62096,JavaScript,285,256,3447,3434
nerd-fonts,2014-12-05T04:31:17Z,2026-03-14T16:01:28Z,61996,CSS,38,565,1127,1080
crawl4ai,2024-05-09T09:48:50Z,2026-03-14T16:35:39Z,61939,Python,13,170,938,924
sway,2021-01-19T20:54:33Z,2026-03-13T17:06:52Z,61882,Rust,185,3643,3268,2420
tldr,2013-12-08T07:34:43Z,2026-03-14T16:32:57Z,61652,Markdown,6,17877,1688,1482
lodash,2012-04-07T04:11:46Z,2026-03-14T16:38:19Z,61575,JavaScript,2,614,4340,4276
redux,2015-05-29T23:53:15Z,2026-03-14T14:47:13Z,61438,TypeScript,78,1747,2067,2030
