name;created_at;updated_at;stars;language;releases;merged_pr;total_issues;closed_issues;idade_dias;idade_anos;dias_desde_update;taxa_issues_fechadas
zellij;2020-09-01 14:04:28+00:00;2026-03-14 16:03:27+00:00;29922;Rust;65;1407;2540;1201;2020;5.53;0.04;0.47283464566929134
build-your-own-x;2018-05-09 12:03:18+00:00;2026-03-14 16:47:44+00:00;475070;Markdown;0;155;890;653;2866;7.85;0.01;0.7337078651685394
awesome;2014-07-11 13:42:37+00:00;2026-03-14 16:46:27+00:00;445416;;0;694;366;350;4264;11.68;0.01;0.9562841530054644
freeCodeCamp;2014-12-24 17:49:19+00:00;2026-03-14 16:45:23+00:00;438124;TypeScript;0;27820;21171;21034;4097;11.22;0.01;0.9935288838505503
public-apis;2016-03-20 23:49:42+00:00;2026-03-14 16:47:47+00:00;410097;Python;0;1872;843;832;3645;9.99;0.01;0.9869513641755635
free-programming-books;2013-10-11 06:50:37+00:00;2026-03-14 16:36:40+00:00;383987;Python;0;7337;1264;1228;4537;12.43;0.01;0.9715189873417721
developer-roadmap;2017-03-15 13:45:52+00:00;2026-03-14 16:46:23+00:00;350886;TypeScript;1;4093;3093;3083;3286;9.0;0.01;0.9967668929841578
system-design-primer;2017-02-26 16:15:28+00:00;2026-03-14 16:45:12+00:00;338813;Python;0;208;363;116;3303;9.05;0.01;0.31955922865013775
coding-interview-university;2016-06-06 02:34:12+00:00;2026-03-14 16:45:21+00:00;337808;;0;415;526;454;3568;9.78;0.01;0.8631178707224335
openclaw;2025-11-24 10:16:47+00:00;2026-03-14 16:48:22+00:00;312618;TypeScript;68;3242;19020;11361;110;0.3;0.0;0.5973186119873817
awesome-python;2014-06-27 21:00:06+00:00;2026-03-14 16:45:31+00:00;287102;Python;0;642;0;0;4277;11.72;0.01;0.0
